BEA_sector,date,v,u,e,U_monthly
Professional and business services,2011-08-01,618,1467,,11754
Real estate and rental and leasing,2011-08-01,46,185,,11754
Retail trade,2011-08-01,317,1618,,11754
Transportation and warehousing,2011-08-01,95,546,,11754
Wholesale trade,2011-08-01,65,279,,11754
Accommodation and food services,2011-06-01,296,1190,11309.6,11812
"Arts, entertainment, and recreation",2011-06-01,56,248,1898.8,11812
Construction,2011-06-01,70,1484,5524.0,11812
Durable goods,2011-06-01,150,951,7288.0,11812
Educational services,2011-06-01,67,271,3203.0,11812
Finance and insurance,2011-06-01,160,405,5666.8,11812
Government,2011-06-01,329,1021,22071.0,11812
Health care and social assistance,2011-06-01,534,863,16734.6,11812
Information,2011-06-01,89,230,2684.0,11812
Mining,2011-06-01,26,45,790.0,11812
Nondurable goods,2011-06-01,65,478,4433.0,11812
"Other services, except government",2011-06-01,134,538,5448.0,11812
Professional and business services,2011-06-01,632,1389,17159.0,11812
Real estate and rental and leasing,2011-06-01,44,205,1940.5,11812
Retail trade,2011-06-01,321,1700,14550.3,11812
Transportation and warehousing,2011-06-01,93,523,4276.8,11812
Wholesale trade,2011-06-01,88,271,5543.7,11812
Accommodation and food services,2011-07-01,282,1239,11312.6,11615
"Arts, entertainment, and recreation",2011-07-01,61,248,1912.3,11615
Construction,2011-07-01,76,1345,5532.0,11615
Durable goods,2011-07-01,172,921,7311.0,11615
Educational services,2011-07-01,73,277,3204.6,11615
Finance and insurance,2011-07-01,153,377,5662.9,11615
Government,2011-07-01,329,995,22034.0,11615
Health care and social assistance,2011-07-01,524,859,16771.3,11615
Information,2011-07-01,105,213,2683.0,11615
Mining,2011-07-01,29,54,800.0,11615
Nondurable goods,2011-07-01,77,512,4434.0,11615
"Other services, except government",2011-07-01,134,570,5448.0,11615
Professional and business services,2011-07-01,647,1463,17193.0,11615
Real estate and rental and leasing,2011-07-01,48,205,1939.6,11615
Retail trade,2011-07-01,307,1618,14576.2,11615
Transportation and warehousing,2011-07-01,110,472,4277.9,11615
Wholesale trade,2011-07-01,121,247,5545.4,11615
Accommodation and food services,2011-02-01,327,1350,11228.2,11833
"Arts, entertainment, and recreation",2011-02-01,48,322,1897.0,11833
Construction,2011-02-01,53,1461,5517.0,11833
Durable goods,2011-02-01,142,922,7211.0,11833
Educational services,2011-02-01,61,318,3205.6,11833
Finance and insurance,2011-02-01,166,405,5669.8,11833
Government,2011-02-01,322,1062,22200.0,11833
Health care and social assistance,2011-02-01,488,946,16626.1,11833
Information,2011-02-01,84,217,2684.0,11833
Mining,2011-02-01,25,45,744.0,11833
Nondurable goods,2011-02-01,66,491,4444.0,11833
"Other services, except government",2011-02-01,121,503,5434.0,11833
Professional and business services,2011-02-01,607,1354,16991.0,11833
Real estate and rental and leasing,2011-02-01,40,188,1935.7,11833
Retail trade,2011-02-01,232,1493,14477.8,11833
Transportation and warehousing,2011-02-01,109,442,4238.2,11833
Wholesale trade,2011-02-01,107,314,5508.2,11833
Accommodation and food services,2011-03-01,297,1314,11266.3,11762
"Arts, entertainment, and recreation",2011-03-01,42,381,1904.7,11762
Construction,2011-03-01,62,1397,5522.0,11762
Durable goods,2011-03-01,161,883,7232.0,11762
Educational services,2011-03-01,49,305,3203.1,11762
Finance and insurance,2011-03-01,159,405,5668.5,11762
Government,2011-03-01,303,1020,22175.0,11762
Health care and social assistance,2011-03-01,563,934,16662.1,11762
Information,2011-03-01,100,235,2683.0,11762
Mining,2011-03-01,34,41,759.0,11762
Nondurable goods,2011-03-01,74,491,4443.0,11762
"Other services, except government",2011-03-01,122,532,5439.0,11762
Professional and business services,2011-03-01,625,1351,17066.0,11762
Real estate and rental and leasing,2011-03-01,30,196,1942.8,11762
Retail trade,2011-03-01,265,1429,14472.2,11762
Transportation and warehousing,2011-03-01,119,500,4246.2,11762
Wholesale trade,2011-03-01,100,348,5522.6,11762
Accommodation and food services,2011-10-01,332,1264,,11539
"Arts, entertainment, and recreation",2011-10-01,46,259,,11539
Construction,2011-10-01,85,1276,,11539
Durable goods,2011-10-01,163,816,,11539
Educational services,2011-10-01,62,277,,11539
Finance and insurance,2011-10-01,160,377,,11539
Government,2011-10-01,380,998,,11539
Health care and social assistance,2011-10-01,548,911,,11539
Information,2011-10-01,105,211,,11539
Mining,2011-10-01,23,71,,11539
Nondurable goods,2011-10-01,71,452,,11539
"Other services, except government",2011-10-01,129,593,,11539
Professional and business services,2011-10-01,586,1526,,11539
Real estate and rental and leasing,2011-10-01,48,163,,11539
Retail trade,2011-10-01,310,1570,,11539
Transportation and warehousing,2011-10-01,102,524,,11539
Wholesale trade,2011-10-01,145,251,,11539
Accommodation and food services,2011-04-01,271,1268,11294.6,11741
"Arts, entertainment, and recreation",2011-04-01,37,299,1905.5,11741
Construction,2011-04-01,100,1454,5526.0,11741
Durable goods,2011-04-01,165,937,7253.0,11741
Educational services,2011-04-01,61,235,3209.3,11741
Finance and insurance,2011-04-01,176,391,5666.5,11741
Government,2011-04-01,288,996,22151.0,11741
Health care and social assistance,2011-04-01,494,952,16696.0,11741
Information,2011-04-01,105,221,2684.0,11741
Mining,2011-04-01,20,25,770.0,11741
Nondurable goods,2011-04-01,71,463,4450.0,11741
"Other services, except government",2011-04-01,104,621,5442.0,11741
Professional and business services,2011-04-01,489,1385,17111.0,11741
Real estate and rental and leasing,2011-04-01,49,213,1945.4,11741
Retail trade,2011-04-01,323,1516,14536.3,11741
Transportation and warehousing,2011-04-01,115,482,4252.4,11741
Wholesale trade,2011-04-01,102,283,5529.8,11741
Accommodation and food services,2011-01-01,259,1313,11184.3,11933
"Arts, entertainment, and recreation",2011-01-01,40,281,1886.5,11933
Construction,2011-01-01,64,1559,5478.0,11933
Durable goods,2011-01-01,158,928,7183.0,11933
Educational services,2011-01-01,56,308,3190.0,11933
Finance and insurance,2011-01-01,186,435,5677.0,11933
Government,2011-01-01,317,1084,22226.0,11933
Health care and social assistance,2011-01-01,420,991,16598.5,11933
Information,2011-01-01,78,225,2687.0,11933
Mining,2011-01-01,28,63,739.0,11933
Nondurable goods,2011-01-01,73,527,4435.0,11933
"Other services, except government",2011-01-01,119,491,5420.0,11933
Professional and business services,2011-01-01,466,1360,16953.0,11933
Real estate and rental and leasing,2011-01-01,33,207,1929.5,11933
Retail trade,2011-01-01,264,1477,14477.7,11933
Transportation and warehousing,2011-01-01,83,436,4221.2,11933
Wholesale trade,2011-01-01,113,248,5492.4,11933
Accommodation and food services,2011-09-01,332,1353,,11776
"Arts, entertainment, and recreation",2011-09-01,59,263,,11776
Construction,2011-09-01,68,1317,,11776
Durable goods,2011-09-01,163,864,,11776
Educational services,2011-09-01,74,250,,11776
Finance and insurance,2011-09-01,139,384,,11776
Government,2011-09-01,392,974,,11776
Health care and social assistance,2011-09-01,546,912,,11776
Information,2011-09-01,118,196,,11776
Mining,2011-09-01,34,63,,11776
Nondurable goods,2011-09-01,72,500,,11776
"Other services, except government",2011-09-01,137,598,,11776
Professional and business services,2011-09-01,664,1552,,11776
Real estate and rental and leasing,2011-09-01,43,148,,11776
Retail trade,2011-09-01,331,1667,,11776
Transportation and warehousing,2011-09-01,105,494,,11776
Wholesale trade,2011-09-01,133,241,,11776
