BEA_sector,date,v,u,e,U_monthly
Educational services,2002-02-01,67,116,2596.4,7302
Finance and insurance,2002-02-01,139,205,5798.3,7302
Government,2002-02-01,451,574,21390.0,7302
Health care and social assistance,2002-02-01,683,473,13414.2,7302
Information,2002-02-01,98,269,3472.0,7302
Mining,2002-02-01,16,31,595.0,7302
Nondurable goods,2002-02-01,114,387,5850.0,7302
"Other services, except government",2002-02-01,147,305,5354.0,7302
Professional and business services,2002-02-01,493,910,15981.0,7302
Real estate and rental and leasing,2002-02-01,60,100,2030.3,7302
Retail trade,2002-02-01,350,977,15071.5,7302
Transportation and warehousing,2002-02-01,86,297,4223.5,7302
Wholesale trade,2002-02-01,103,185,5672.4,7302
Accommodation and food services,2003-12-01,405,817,10492.0,7312
"Arts, entertainment, and recreation",2003-12-01,56,145,1828.1,7312
Construction,2003-12-01,99,743,6827.0,7312
Durable goods,2003-12-01,126,651,8857.0,7312
Educational services,2003-12-01,41,159,2739.9,7312
Finance and insurance,2003-12-01,168,213,5914.8,7312
Government,2003-12-01,321,582,21546.0,7312
Health care and social assistance,2003-12-01,484,527,14010.3,7312
Information,2003-12-01,83,222,3150.0,7312
Mining,2003-12-01,10,31,576.0,7312
Nondurable goods,2003-12-01,93,392,5443.0,7312
"Other services, except government",2003-12-01,146,324,5402.0,7312
Professional and business services,2003-12-01,616,933,16137.0,7312
Real estate and rental and leasing,2003-12-01,35,105,2067.9,7312
Retail trade,2003-12-01,346,978,14931.7,7312
Transportation and warehousing,2003-12-01,91,286,4174.3,7312
Wholesale trade,2003-12-01,169,204,5602.1,7312
Accommodation and food services,2003-06-01,407,842,10316.4,8109
"Arts, entertainment, and recreation",2003-06-01,72,126,1804.1,8109
Construction,2003-06-01,114,875,6723.0,8109
Durable goods,2003-06-01,109,826,8945.0,8109
Educational services,2003-06-01,48,144,2691.2,8109
Finance and insurance,2003-06-01,147,220,5931.0,8109
Government,2003-06-01,429,596,21606.0,8109
Health care and social assistance,2003-06-01,563,541,13893.1,8109
Information,2003-06-01,68,253,3182.0,8109
Mining,2003-06-01,6,31,572.0,8109
Nondurable goods,2003-06-01,85,444,5548.0,8109
"Other services, except government",2003-06-01,139,350,5397.0,8109
Professional and business services,2003-06-01,618,1092,15939.0,8109
Real estate and rental and leasing,2003-06-01,45,104,2054.2,8109
Retail trade,2003-06-01,334,1096,14888.6,8109
Transportation and warehousing,2003-06-01,90,294,4168.0,8109
Wholesale trade,2003-06-01,85,275,5606.2,8109
Accommodation and food services,2003-02-01,287,871,10304.2,7601
"Arts, entertainment, and recreation",2003-02-01,56,175,1825.4,7601
Construction,2003-02-01,97,839,6667.0,7601
Durable goods,2003-02-01,126,742,9134.0,7601
Educational services,2003-02-01,39,133,2673.7,7601
Finance and insurance,2003-02-01,145,223,5888.2,7601
Government,2003-02-01,393,548,21624.0,7601
Health care and social assistance,2003-02-01,571,455,13796.4,7601
Information,2003-02-01,70,310,3236.0,7601
Mining,2003-02-01,6,36,575.0,7601
Nondurable goods,2003-02-01,76,411,5646.0,7601
"Other services, except government",2003-02-01,178,303,5405.0,7601
Professional and business services,2003-02-01,770,1060,15943.0,7601
Real estate and rental and leasing,2003-02-01,50,71,2040.8,7601
