BEA_sector,date,v,u,U_monthly
Durable goods,200408,170,561,6829
Educational services,200408,51,143,6829
Finance and insurance,200408,231,203,6829
Government,200408,361,536,6829
Health care and social assistance,200408,558,425,6829
Information,200408,92,188,6829
Mining,200408,9,14,6829
Nondurable goods,200408,113,318,6829
"Other services, except government",200408,141,318,6829
Professional and business services,200408,676,927,6829
Real estate and rental and leasing,200408,50,96,6829
Retail trade,200408,431,929,6829
Transportation and warehousing,200408,83,264,6829
Wholesale trade,200408,135,185,6829
Accommodation and food services,200409,397,785,6828
"Arts, entertainment, and recreation",200409,66,152,6828
Construction,200409,119,765,6828
Durable goods,200409,170,560,6828
Educational services,200409,51,109,6828
Finance and insurance,200409,273,249,6828
Government,200409,370,559,6828
Health care and social assistance,200409,559,478,6828
Information,200409,93,175,6828
Mining,200409,10,11,6828
Nondurable goods,200409,103,351,6828
"Other services, except government",200409,128,305,6828
Professional and business services,200409,704,787,6828
Real estate and rental and leasing,200409,60,134,6828
Retail trade,200409,479,936,6828
Transportation and warehousing,200409,75,231,6828
Wholesale trade,200409,145,241,6828
Accommodation and food services,200401,362,843,7310
"Arts, entertainment, and recreation",200401,65,176,7310
Construction,200401,151,715,7310
Durable goods,200401,141,634,7310
Educational services,200401,43,140,7310
Finance and insurance,200401,214,301,7310
Government,200401,422,516,7310
Health care and social assistance,200401,591,517,7310
Information,200401,75,231,7310
Mining,200401,8,24,7310
Nondurable goods,200401,94,396,7310
"Other services, except government",200401,162,325,7310
Professional and business services,200401,588,927,7310
Real estate and rental and leasing,200401,61,120,7310
Retail trade,200401,349,1061,7310
Transportation and warehousing,200401,89,202,7310
Wholesale trade,200401,116,182,7310
